streamer,title,url,views,duration,created_at,category
Hctuan,Il faut toujours un boulet dans un groupe...,https://www.twitch.tv/hctuan/clip/ArtsyUnsightlySnoodKappaWealth-2H_Un_P47uFfJ5pD,19,21.5,2025-05-29T20:32:07Z,Minecraft
Hctuan,"Laink quitte Winkil, Terra rachète ses parts",https://www.twitch.tv/hctuan/clip/WimpySplendidNightingalePanicVis-so9qBr6asRfZShg2,19,60,2025-05-29T23:21:46Z,Minecraft
Raffale_,#AdicteEtPauvre,https://www.twitch.tv/raffale_/clip/EmpathicColdbloodedShrewEleGiggle-WpwLjzApXOKZLMHF,19,30,2025-05-30T18:32:43Z,Minecraft
Zafeel,zaf le toilette,https://www.twitch.tv/zafeel/clip/SassyVibrantGalagoKappaRoss-B29a42L_Ae79HbTS,18,40.4,2025-05-30T20:25:29Z,Minecraft
Anyme023,Règlement de compte sur Crazy Town,https://www.twitch.tv/anyme023/clip/PlacidAcceptableRamenKeyboardCat-KzgWC6G_d7RoHvxJ,17,34.1,2025-05-30T12:20:32Z,Minecraft
Anyme023,mdr,https://www.twitch.tv/anyme023/clip/ProtectiveTransparentAniseMoreCowbell-u89OaWzWSVxTeDlY,15,30,2025-05-30T13:38:42Z,Minecraft
Mastu,Pour voir ce que j’ai loupe,https://www.twitch.tv/mastu/clip/ViscousWildLapwingGrammarKing-bFIlSrTM0yzuFpOB,15,30,2025-05-29T20:53:24Z,Minecraft
Zafeel,en pleine scène,https://www.twitch.tv/zafeel/clip/ObesePlumpAdminLitty-34_HJiqIZ1fHg2mP,15,15.2,2025-05-30T19:22:48Z,Minecraft
Raffale_,les nouveaux chien de raff,https://www.twitch.tv/raffale_/clip/FancyTolerantUdonUnSane-pSWwQ8NVbEOMoc5F,15,39.8,2025-05-30T19:20:04Z,Minecraft
Anyme023,chicken musique,https://www.twitch.tv/anyme023/clip/OutstandingPlacidFriseeMau5-FQK1Ng-fumUXsKD5,13,60,2025-05-30T08:57:39Z,Minecraft
xonsah,.,https://www.twitch.tv/xonsah/clip/StupidGleamingGoldfishCoolStoryBro-abLL1P0KU8tTJMiU,13,60,2025-05-29T20:35:16Z,Minecraft
xonsah,alicante sous chicha,https://www.twitch.tv/xonsah/clip/EvilJollyAlfalfaAMPEnergyCherry-e44fdJmuVbU1NQbu,13,30,2025-05-29T21:49:40Z,Minecraft
xonsah,kuyyu,https://www.twitch.tv/xonsah/clip/CorrectProductiveTigerTwitchRPG-lLGQ0JIYBKlL-LUJ,13,19.9,2025-05-29T23:39:44Z,Minecraft
xonsah,.,https://www.twitch.tv/xonsah/clip/ArborealWimpyLionSuperVinlin-M5sbOlMftD2WHzRt,13,30,2025-05-29T20:32:53Z,Minecraft
xonsah,mdr,https://www.twitch.tv/xonsah/clip/SucculentComfortableLEDFrankerZ-RZsuGJZv17LGxW4h,13,30,2025-05-29T22:43:39Z,Minecraft
xonsah,ll,https://www.twitch.tv/xonsah/clip/SmokyTameEelTBCheesePull-zmzOksQPAX8m-PNi,13,30,2025-05-29T22:33:39Z,Minecraft
Mastu,???,https://www.twitch.tv/mastu/clip/BlatantJollyDumplingsPicoMause-a3u1apoxSqAFg8xY,13,23.9,2025-05-29T21:19:21Z,Minecraft
Zafeel,Ari mon gros chien,https://www.twitch.tv/zafeel/clip/FancySpikyApeBabyRage-5lDfIUYAeXvqwsrJ,13,38.9,2025-05-30T19:19:51Z,Minecraft
Michou,clliiip,https://www.twitch.tv/michou/clip/SplendidBovineRedpandaEagleEye-0PsbXs1gt294Fknn,13,28.5,2025-05-30T19:25:05Z,Minecraft
Raffale_,LA MASTERCLAAAASS,https://www.twitch.tv/raffale_/clip/SeductiveAnimatedHumanCharlieBitMe-LGCxFHKpuLkQPRtA,13,30,2025-05-29T21:24:08Z,Minecraft
RASKA_yt,CRAZYTOWN : ouverture officielle du RASKRISPY !,https://www.twitch.tv/raska_yt/clip/PricklyAdorableGrouseDerp-7eEQniIng6ABj2We,13,29.7,2025-05-29T20:56:59Z,Minecraft
Anyme023,fds,https://www.twitch.tv/anyme023/clip/HonestPlainShallotDxCat-Yy7whqIKw5uOjmw6,11,51.4,2025-05-30T09:50:45Z,Just Chatting
Anyme023,AHHAHAHAHA,https://www.twitch.tv/anyme023/clip/SneakyCoyMooseDxCat-vFjNdKHk9zYeAmIo,11,30,2025-05-30T13:45:49Z,Just Chatting
Anyme023,FN,https://www.twitch.tv/anyme023/clip/HorribleSilkyWitchItsBoshyTime-WH-svvxG_POmwvve,11,11.9,2025-05-30T10:44:01Z,Just Chatting
xonsah,gfnfg,https://www.twitch.tv/xonsah/clip/ShortFunnyZebraDuDudu-aBTkikg1NfKvCRqJ,11,60,2025-05-29T23:38:13Z,Minecraft
xonsah,dark,https://www.twitch.tv/xonsah/clip/EnticingUnsightlyWrenchPJSugar-fgU8m9zd3gInrafa,11,30,2025-05-29T20:52:01Z,Minecraft
xonsah,.,https://www.twitch.tv/xonsah/clip/EnjoyablePricklyLegDogFace-iC7DgTtuou79akDP,11,30,2025-05-29T20:33:02Z,Minecraft
Kaatsup,Anyme tuer par Byilhannn,https://www.twitch.tv/kaatsup/clip/HonorableBlindingLasagnaTTours-ki2QSoslf91K5V4K,11,39.4,2025-05-29T21:37:29Z,Minecraft
Mastu,mdrrr,https://www.twitch.tv/mastu/clip/ShakingNeighborlyChamoisOSfrog-immnANWNWKdWPFnp,11,60,2025-05-29T21:30:59Z,Minecraft
Mastu,team claquette,https://www.twitch.tv/mastu/clip/ExquisiteIncredulousCougarNerfRedBlaster-Z2wpYMq2Ilv00ny-,11,30,2025-05-29T20:51:46Z,Minecraft
